,Time,Battery,Cycle,Temperature,Cutoff,Discharge_Current,Re,Rct,Capacity,SOH,SOH_Diff,EOL,RUL,RUL_Diff
0,2008-04-19 07:47:15,5,1,24,2.0,2.0,0.04599074473076839,0.07342664108773311,1.8361774213478947,99.45,1.8089999999999975,91,90,-1.0
1,2008-04-19 13:01:42,5,2,24,2.0,2.0,0.0452171085992494,0.07464778408413367,1.8257807475776242,98.887,-0.5630000000000024,91,89,-1.0
2,2008-04-19 18:27:29,5,3,24,2.0,2.0,0.04490994541365791,0.07395687603254197,1.8251136435078368,98.851,-0.036000000000001364,91,88,-1.0
3,2008-04-19 23:41:55,5,4,24,2.0,2.0,0.04717044086931744,0.07208112164479205,1.8255815042203762,98.876,0.025000000000005684,91,87,-1.0
4,2008-04-20 04:54:41,5,5,24,2.0,2.0,0.04648969708635643,0.07102909339339247,1.8140311275083907,98.251,-0.625,91,86,-1.0
5,2008-04-20 10:16:28,5,6,24,2.0,2.0,0.0463622366817154,0.07193029860543036,1.8147691941158939,98.291,0.03999999999999204,91,85,-1.0
6,2008-04-20 15:37:05,5,7,24,2.0,2.0,0.04482791300205649,0.07288826952758304,1.813969388710352,98.247,-0.04399999999999693,91,84,-1.0
7,2008-04-20 20:50:38,5,8,24,2.0,2.0,0.04466450679894579,0.0727868237536811,1.802765665167823,97.641,-0.6059999999999945,91,83,-1.0
8,2008-04-21 02:15:02,5,9,24,2.0,2.0,0.04502135245555801,0.06940408185539676,1.804077040117352,97.712,0.07099999999999795,91,82,-1.0
9,2008-04-22 20:26:18,5,10,24,2.0,2.0,0.04766732499763113,0.06870142026856427,1.8307038456739428,99.154,1.441999999999993,91,81,-1.0
10,2008-04-23 01:18:11,5,11,24,2.0,2.0,0.04786769518725868,0.06782851501053842,1.8199041089501267,98.569,-0.5849999999999937,91,80,-1.0
11,2008-04-23 06:18:19,5,12,24,2.0,2.0,0.045613419083722975,0.0690386303340568,1.8093079637028517,97.995,-0.5739999999999981,91,79,-1.0
12,2008-04-23 11:08:00,5,13,24,2.0,2.0,0.04672887233883059,0.06971129972921941,1.80460990458052,97.741,-0.2540000000000049,91,78,-1.0
13,2008-04-23 16:06:25,5,14,24,2.0,2.0,0.04691622519628201,0.06913343554751465,1.7993770651972192,97.457,-0.284000000000006,91,77,-1.0
14,2008-04-23 21:02:58,5,15,24,2.0,2.0,0.046604793185003,0.06852215228822905,1.7884432335370462,96.865,-0.5919999999999987,91,76,-1.0
15,2008-04-24 01:51:33,5,16,24,2.0,2.0,0.04683293993011124,0.06946896899621643,1.7829230484252723,96.566,-0.2989999999999924,91,75,-1.0
16,2008-04-24 06:50:00,5,17,24,2.0,2.0,0.04624136663986422,0.06934916902797013,1.7730337158018288,96.03,-0.5360000000000014,91,74,-1.0
17,2008-04-24 11:49:24,5,18,24,2.0,2.0,0.049427483436388156,0.0695498357572787,1.773037755078937,96.031,0.0010000000000047748,91,73,-1.0
18,2008-04-24 16:45:56,5,19,24,2.0,2.0,0.04747841688797767,0.06488297170955903,1.7678721106662054,95.751,-0.28000000000000114,91,72,-1.0
19,2008-04-24 21:38:11,5,20,24,2.0,2.0,0.047703621105183044,0.06859813037774799,1.7623150704093087,95.45,-0.30100000000000193,91,71,-1.0
